,url,price,title,distance,description,location,time_offset,retreived
1528231073,/v-snowboard/city-of-toronto/extra-mile-ski-snowboard-goggles-never-used/1528231073,30.0,Extra Mile Ski/Snowboard Goggles NEVER USED,,"Hi, I am selling a pair of Extra Mile Ski/Snowboard goggles NEVER USED ordered off of Amazon. Comes with dustbag and protective case. Pick up at High Park",City of Toronto,< 21 minutes ago,2020-10-06 12:14:27.765079
1528224875,/v-snowboard/city-of-toronto/ride-kink-park-board-153/1528224875,250.0,Ride Kink Park Board 153,,"Highend Ride park board, good flex super fun to ride. A few years old of light riding so some minor chips, but taken great care of always in a board bag. Burton Freestyle Bindings size medium (up to ...",City of Toronto,< 53 minutes ago,2020-10-06 12:14:27.765582
1410754698,/v-snowboard/city-of-toronto/for-sale-snowboard-luna-152-by-nidecker/1410754698,120.0,For sale snowboard luna 152 by nidecker,,"For sale snowboard luna 152 by nidecker. used in perfect condition, no cracks, no damages. scratches are from normal wear/usage. please check attached pictures.",City of Toronto,< 2 hours ago,2020-10-06 12:14:27.766110
1528029739,/v-snowboard/city-of-toronto/sierra-snowboard-162cm-burton-bindings-flow-boots-11-5/1528029739,400.0,"Sierra Snowboard 162cm, Burton Bindings, Flow Boots 11.5",,"Selling a 162cm Sierra Crew Reverse Camber snowboard with Burton bindings, size 11.5 Flow boots, and a Db snowboard travel bag. Total package valued at $800+ normally.",City of Toronto,< 3 hours ago,2020-10-06 12:14:27.766634
1528150792,/v-snowboard/city-of-toronto/old-snowboards-wanted/1528150792,0.0,"Wanted:
                            Old Snowboards Wanted",,"I am curating a museum - Its a registered Non-Profit. The Canadian Snowboard Museum and Hall of Fame Society. We and looking for Snowboards, and related Vintage Snowboarding gear. Do you have any old ...",City of Toronto,< 15 hours ago,2020-10-06 12:14:27.767147
1528148423,/v-snowboard/city-of-toronto/salomon-sanchez-151/1528148423,100.0,Salomon Sanchez 151,,IF THE AD IS STILL UP IT IS STILL AVAILABLE! Only used a few times. There are no scratches or nicks on the edges. Rocker Type Pres-Sure Rocker – Salomon designed this board with a Pure Reverse Camber ...,City of Toronto,< 15 hours ago,2020-10-06 12:14:27.767847
1528148035,/v-snowboard/city-of-toronto/lib-tech-trs-148/1528148035,250.0,Lib tech TRS 148,,IF THE AD IS STILL UP IT IS STILL AVAILABLE! Used for one season. Only one scratch on the bottom (refer to picture). Will scrape off wax if you are interested. Edges are clean as well. The top sheet ...,City of Toronto,< 15 hours ago,2020-10-06 12:14:27.768924
1406409017,/v-snowboard/city-of-toronto/firefly-junior-girl-snowboard-boots/1406409017,50.0,Firefly Junior Girl Snowboard Boots,,Size: Mondo 21.5 for youth 8 to 10 years old In excellent condition. Only used 2 seasons. $50 firm If you see this ad that means it’s still available,City of Toronto,< 17 hours ago,2020-10-06 12:14:27.769571
1528123005,/v-snowboard/city-of-toronto/nitro-team-series-159-all-mountain-snowboard/1528123005,100.0,Nitro Team Series 159 All Mountain Snowboard,,"The Team series is the foundation of the Nitro board line. The goal was to build a lightweight, all around freestyle board at reasonable cost, but to make sure it will out-perform anything else on ...",City of Toronto,< 18 hours ago,2020-10-06 12:14:27.770492
1528109766,/v-snowboard/city-of-toronto/boys-snowboard-boots-size-5/1528109766,60.0,Boys snowboard boots. Size 5.,,CAPIX snowboard boots. Brand new in box. Original cost $99.99.,City of Toronto,< 19 hours ago,2020-10-06 12:14:27.771057
1528109123,/v-snowboard/city-of-toronto/womans-snowboard-boots-double-boa-system/1528109123,260.0,Woman's Snowboard boots double boa system,,"Size 8 woman's Double Boa System snowboard boots. Thirty two brand. Brand new never worn! Purchased for 360 plus tax (over 400$) Selling for $260 Don't call, email or text",City of Toronto,< 19 hours ago,2020-10-06 12:14:27.771726
1528046927,/v-snowboard/city-of-toronto/snowboard-package-100/1528046927,100.0,Snowboard package $100,,Snowboard firefly rave 60 + step in flow biding + salomon boots,City of Toronto,< 24 hours ago,2020-10-06 12:14:27.772909
1528045185,/v-snowboard/city-of-toronto/snowboard-with-bindings-and-boots/1528045185,200.0,Snowboard with bindings and boots,,$200 OBO Willing to sell individually or paired.,City of Toronto,< 24 hours ago,2020-10-06 12:14:27.773935
1528043951,/v-snowboard/city-of-toronto/salomon-splitboard-162cm/1528043951,650.0,Salomon splitboard 162cm,,Salomon sickstick splitboard 162cm Only used for two months last season. Comes with skins. Does not come with bindings or pucks. Pick up downtown Tags - Salomon sick stick splitboard burton K2 gnu ...,City of Toronto,< 24 hours ago,2020-10-06 12:14:27.774730
1528026539,/v-snowboard/city-of-toronto/ruroc-rg1-dx-core-chrome-never-used-size-m-l-in-box/1528026539,360.0,Ruroc RG1-DX Core Chrome Never used size M/L in box,,"Snowboard, Skateboard or Corona Mask. Never used chrome. sz M/L $470+tx on website",City of Toronto,Yesterday,2020-10-06 12:14:27.775434
1528022227,/v-snowboard/city-of-toronto/coiler-snowboards/1528022227,300.0,Coiler snowboards,,182 cm Coiler Monster board (snake skin graphics ) and 171 cm Coiler Stubby board (flame graphics). Both boards in good condition. No gauges. Good for 160 lb to 175 lb riders. Will sell separately.,City of Toronto,Yesterday,2020-10-06 12:14:27.776090
1528009318,/v-snowboard/city-of-toronto/dc-phase-snowboarding-boots/1528009318,50.0,DC Phase snowboarding boots,,Size 11. Great condition - used less than 10 times. Price firm,City of Toronto,Yesterday,2020-10-06 12:14:27.777206
1527999955,/v-snowboard/city-of-toronto/burton-custom-x-snowboard-genesis-x-snowboard-binding/1527999955,900.0,"Burton custom X Snowboard, Genesis X. Snowboard binding",,Selling . 1920 burton customX 166cm wide $ 660 Ridden for 9 days Freshly waxed on end of season. 1819 Genesis X large size. (Re-flex 4x4) Used for 1season only. (Around 20days. Bought on 2019 october ...,City of Toronto,Yesterday,2020-10-06 12:14:27.778696
1412095038,/v-snowboard/city-of-toronto/elan-royale-snowboard-size-152-great-condition/1412095038,120.0,Elan Royale Snowboard Size 152 Great Condition,,Selling Great Condition Elan Royale Snowboard Size 152 perfect for someone who wants to try out the sport. Quit snowboarding and transitioned over to skiing. Asking $120 for Board. Make an Offer and ...,City of Toronto,Yesterday,2020-10-06 12:14:27.780528
1412091099,/v-snowboard/city-of-toronto/sims-pro-snowboard-allan-clark-model-pl-boots-size-9-5/1412091099,149.0,SIMS PRO Snowboard - Allan Clark Model + PL Boots size 9.5,,Perfect for a beginner who wants to try the sport. Selling SIMS PRO SNOW BOARD - ALLAN CLARK MODEL plus a pair of PL Snowboard Boots Size 9.5 ** BINDINGS NOT INCLUDED** gave them away to family ...,City of Toronto,Yesterday,2020-10-06 12:14:27.782219
1527993479,/v-snowboard/city-of-toronto/snow-boards-snow/1527993479,60.0,Snow  boards + snow,,"No Tex Call 647 855 2722 Boards 5 ` $60 each Brand new stuff size L Jacket Eira $40 , Pants $25 Helmet +++ $40 , Boots size 10 $40 , Hill boots kids 195 mm $10 ,",City of Toronto,Yesterday,2020-10-06 12:14:27.783821
1527970046,/v-snowboard/city-of-toronto/firefly-junior-girls-snowboard-boots/1527970046,50.0,Firefly Junior Girls Snowboard Boots,,Firefly Junior Girls Snowboard Boots in size 3. Worn only Once. Still in Box,City of Toronto,Yesterday,2020-10-06 12:14:27.785403
1527969863,/v-snowboard/city-of-toronto/giro-snowboard-helmet/1527969863,40.0,Giro Snowboard Helmet,,"XS Giro Snowboard Helmet. I have two available with slight differences but the same protection, warmth, and comfort.",City of Toronto,Yesterday,2020-10-06 12:14:27.786050
1527969677,/v-snowboard/city-of-toronto/brand-new-snowboard-sharpener-unopened/1527969677,4.0,Brand new snowboard sharpener unopened,,Brand new kUu snowboard sharpener unopened in package,City of Toronto,04/10/2020,2020-10-06 12:14:27.786816
1527968968,/v-snowboard/city-of-toronto/flow-snowboarding-boot-size-1/1527968968,60.0,Flow Snowboarding Boot - Size 1,,Includes Kids Boa Lacing - A cable and reel based lacing system that creates even tension and easy lacing operation Size 1 Boot for snowboarding,City of Toronto,04/10/2020,2020-10-06 12:14:27.788240
1527963904,/v-snowboard/city-of-toronto/pair-of-k2-size-2-snowboard-boots/1527963904,70.0,Pair of K2 Size 2 snowboard boots,,"Working best with the Mini Turbo board and binding, the Mini Turbo boot features a front-mounted Boa® reel for easy tightening and on-the-fly adjustability. This allows your little ripper the ability ...",City of Toronto,04/10/2020,2020-10-06 12:14:27.789407
1527963476,/v-snowboard/city-of-toronto/womens-k2-snowboard-142-boots-sz7-5/1527963476,150.0,Women's K2 Snowboard (142) & boots (sz7.5),,"Women's K2 snowboard & boots - $150 Boots size: 7.5, board size 142, In Mint Condition Pick-up at Steeles & Bathurst Please check out my other items - moving sale",City of Toronto,04/10/2020,2020-10-06 12:14:27.790114
1527960892,/v-snowboard/city-of-toronto/firefly-men-s-snowboarding-shoes/1527960892,40.0,Firefly men’s snowboarding shoes,,Firefly men’s snowboarding shoes. In good used condition. No rips or tears. Small scratch to corner of right boot.,City of Toronto,04/10/2020,2020-10-06 12:14:27.791119
1324819701,/v-snowboard/city-of-toronto/brand-new-women-helmets-bern-lenox-eps-size-xs-sm/1324819701,120.0,Brand new Women helmets Bern Lenox EPS size XS/SM,,Brand new Women helmets Bern Lenox EPS Size XS/SM ( 52cm-55.5cm) Satin White/ Grey Liner,City of Toronto,04/10/2020,2020-10-06 12:14:27.791815
1527956473,/v-snowboard/city-of-toronto/snowboard-shell-jacket-unisex/1527956473,20.0,Snowboard shell/jacket -  unisex,,"Blond snowboard shell, great condition! Comes from smoke and pet free home",City of Toronto,04/10/2020,2020-10-06 12:14:27.792352
1469724385,/v-snowboard/city-of-toronto/burton-ski-snowboard-jacket-w-gloves-women-s/1469724385,80.0,Burton Ski Snowboard Jacket w/Gloves Women’s,,"Insulated, weather-proof, Size S, used several times, in great condition.",City of Toronto,04/10/2020,2020-10-06 12:14:27.792972
1469722946,/v-snowboard/city-of-toronto/betty-rides-womens-snowboard-pants/1469722946,50.0,Betty Rides Women's Snowboard Pants,,"Almost new weather-proof pants, size S.",City of Toronto,04/10/2020,2020-10-06 12:14:27.793699
1469726286,/v-snowboard/city-of-toronto/levelwear-womens-activewear-snowboard-ski/1469726286,25.0,Levelwear Women's Activewear Snowboard Ski,,"Half-zip, Moisture Wicking, Anti Static,Anti Pill, 97% Polyester, 3% Spandex, Soft Hand Size S/M.",City of Toronto,04/10/2020,2020-10-06 12:14:27.794211
1527950983,/v-snowboard/city-of-toronto/brand-new-smith-snowboarding-goggles/1527950983,30.0,Brand new Smith snowboarding goggles,,Never worn Smith Knowledge OTS goggles - Lifetime warranty - Cylindrical carbonic-x lens - Patented regulator adjustable lens ventilation - Fog-X anti-fog inner lens - TLT lens technology for crystal ...,City of Toronto,04/10/2020,2020-10-06 12:14:27.794746
1527948352,/v-snowboard/city-of-toronto/barely-used-option-snowboard-drake-bindings/1527948352,200.0,Barely used Option snowboard + Drake Bindings,,"- Option Redline 141 - Drake F40 lady bindings (perfect condition) This board was only used 4 times, just need to sharpen edges to remove some sueface rust. Great board made in Canada! Serious ...",City of Toronto,04/10/2020,2020-10-06 12:14:27.795251
1527938767,/v-snowboard/city-of-toronto/mens-159-snowboard-k2-black-and-orange-w-firefly-bindings/1527938767,425.0,Men's 159 Snowboard K2 Black and Orange w/Firefly Bindings,,"K2 Collection 159 Snowboard with Firefly Bindings Like new, used twice in one season. Black glossy top, orange bottom.",City of Toronto,04/10/2020,2020-10-06 12:14:27.795754
1527936552,/v-snowboard/city-of-toronto/burton-snowboard-helmet/1527936552,10.0,Burton snowboard helmet,,R.E.D. Burton snowboard helmet. Blue with red details. Size 58/medium. Pickup only.,City of Toronto,04/10/2020,2020-10-06 12:14:27.796257
1527935902,/v-snowboard/city-of-toronto/burton-zipline-jr-snowboard-boots-size-6/1527935902,90.0,Burton Zipline Jr Snowboard Boots Size 6!,,"Like new Burton Zipline Jr Boots size 6! These are among the best you can buy and are top quality, once you go boa, you can’t go back due to convenience! Don’t buy new, your kids with outgrow the ...",City of Toronto,04/10/2020,2020-10-06 12:14:27.796797
1527934605,/v-snowboard/city-of-toronto/spy-doom-snow-goggles-w-two-lenses/1527934605,150.0,Spy Doom Snow Goggles w/ two lenses,,Like New. Worn Twice. MRSP $220. Comes with protective fabric pouch & two lenses. - Antifog - 100% UV Protection - Helmet Compatible - Flexible Frame - Silicon Ribbed Strap - Triple Layer Face Foam ...,City of Toronto,04/10/2020,2020-10-06 12:14:27.797414
1527923920,/v-snowboard/city-of-toronto/burton-snowboard-deck/1527923920,100.0,Burton Snowboard Deck,,I'm selling the balance by Burton snowboard deck only. White colour and 157.7cm height.,City of Toronto,04/10/2020,2020-10-06 12:14:27.798031
1528231073,/v-snowboard/city-of-toronto/extra-mile-ski-snowboard-goggles-never-used/1528231073,30.0,Extra Mile Ski/Snowboard Goggles NEVER USED,,"Hi, I am selling a pair of Extra Mile Ski/Snowboard goggles NEVER USED ordered off of Amazon. Comes with dustbag and protective case. Pick up at High Park",City of Toronto,< 21 minutes ago,2020-10-06 12:14:29.593962
1528224875,/v-snowboard/city-of-toronto/ride-kink-park-board-153/1528224875,250.0,Ride Kink Park Board 153,,"Highend Ride park board, good flex super fun to ride. A few years old of light riding so some minor chips, but taken great care of always in a board bag. Burton Freestyle Bindings size medium (up to ...",City of Toronto,< 53 minutes ago,2020-10-06 12:14:29.594469
1410754698,/v-snowboard/city-of-toronto/for-sale-snowboard-luna-152-by-nidecker/1410754698,120.0,For sale snowboard luna 152 by nidecker,,"For sale snowboard luna 152 by nidecker. used in perfect condition, no cracks, no damages. scratches are from normal wear/usage. please check attached pictures.",City of Toronto,< 2 hours ago,2020-10-06 12:14:29.595245
1528029739,/v-snowboard/city-of-toronto/sierra-snowboard-162cm-burton-bindings-flow-boots-11-5/1528029739,400.0,"Sierra Snowboard 162cm, Burton Bindings, Flow Boots 11.5",,"Selling a 162cm Sierra Crew Reverse Camber snowboard with Burton bindings, size 11.5 Flow boots, and a Db snowboard travel bag. Total package valued at $800+ normally.",City of Toronto,< 3 hours ago,2020-10-06 12:14:29.595737
1528150792,/v-snowboard/city-of-toronto/old-snowboards-wanted/1528150792,0.0,"Wanted:
                            Old Snowboards Wanted",,"I am curating a museum - Its a registered Non-Profit. The Canadian Snowboard Museum and Hall of Fame Society. We and looking for Snowboards, and related Vintage Snowboarding gear. Do you have any old ...",City of Toronto,< 15 hours ago,2020-10-06 12:14:29.596225
1528148423,/v-snowboard/city-of-toronto/salomon-sanchez-151/1528148423,100.0,Salomon Sanchez 151,,IF THE AD IS STILL UP IT IS STILL AVAILABLE! Only used a few times. There are no scratches or nicks on the edges. Rocker Type Pres-Sure Rocker – Salomon designed this board with a Pure Reverse Camber ...,City of Toronto,< 15 hours ago,2020-10-06 12:14:29.596719
1528148035,/v-snowboard/city-of-toronto/lib-tech-trs-148/1528148035,250.0,Lib tech TRS 148,,IF THE AD IS STILL UP IT IS STILL AVAILABLE! Used for one season. Only one scratch on the bottom (refer to picture). Will scrape off wax if you are interested. Edges are clean as well. The top sheet ...,City of Toronto,< 15 hours ago,2020-10-06 12:14:29.597255
1406409017,/v-snowboard/city-of-toronto/firefly-junior-girl-snowboard-boots/1406409017,50.0,Firefly Junior Girl Snowboard Boots,,Size: Mondo 21.5 for youth 8 to 10 years old In excellent condition. Only used 2 seasons. $50 firm If you see this ad that means it’s still available,City of Toronto,< 17 hours ago,2020-10-06 12:14:29.597885
1528123005,/v-snowboard/city-of-toronto/nitro-team-series-159-all-mountain-snowboard/1528123005,100.0,Nitro Team Series 159 All Mountain Snowboard,,"The Team series is the foundation of the Nitro board line. The goal was to build a lightweight, all around freestyle board at reasonable cost, but to make sure it will out-perform anything else on ...",City of Toronto,< 18 hours ago,2020-10-06 12:14:29.598398
1528109766,/v-snowboard/city-of-toronto/boys-snowboard-boots-size-5/1528109766,60.0,Boys snowboard boots. Size 5.,,CAPIX snowboard boots. Brand new in box. Original cost $99.99.,City of Toronto,< 19 hours ago,2020-10-06 12:14:29.599032
1528109123,/v-snowboard/city-of-toronto/womans-snowboard-boots-double-boa-system/1528109123,260.0,Woman's Snowboard boots double boa system,,"Size 8 woman's Double Boa System snowboard boots. Thirty two brand. Brand new never worn! Purchased for 360 plus tax (over 400$) Selling for $260 Don't call, email or text",City of Toronto,< 19 hours ago,2020-10-06 12:14:29.599684
1528046927,/v-snowboard/city-of-toronto/snowboard-package-100/1528046927,100.0,Snowboard package $100,,Snowboard firefly rave 60 + step in flow biding + salomon boots,City of Toronto,< 24 hours ago,2020-10-06 12:14:29.600185
1528045185,/v-snowboard/city-of-toronto/snowboard-with-bindings-and-boots/1528045185,200.0,Snowboard with bindings and boots,,$200 OBO Willing to sell individually or paired.,City of Toronto,< 24 hours ago,2020-10-06 12:14:29.600720
1528043951,/v-snowboard/city-of-toronto/salomon-splitboard-162cm/1528043951,650.0,Salomon splitboard 162cm,,Salomon sickstick splitboard 162cm Only used for two months last season. Comes with skins. Does not come with bindings or pucks. Pick up downtown Tags - Salomon sick stick splitboard burton K2 gnu ...,City of Toronto,< 24 hours ago,2020-10-06 12:14:29.601218
1528026539,/v-snowboard/city-of-toronto/ruroc-rg1-dx-core-chrome-never-used-size-m-l-in-box/1528026539,360.0,Ruroc RG1-DX Core Chrome Never used size M/L in box,,"Snowboard, Skateboard or Corona Mask. Never used chrome. sz M/L $470+tx on website",City of Toronto,Yesterday,2020-10-06 12:14:29.601708
1528022227,/v-snowboard/city-of-toronto/coiler-snowboards/1528022227,300.0,Coiler snowboards,,182 cm Coiler Monster board (snake skin graphics ) and 171 cm Coiler Stubby board (flame graphics). Both boards in good condition. No gauges. Good for 160 lb to 175 lb riders. Will sell separately.,City of Toronto,Yesterday,2020-10-06 12:14:29.602196
1528009318,/v-snowboard/city-of-toronto/dc-phase-snowboarding-boots/1528009318,50.0,DC Phase snowboarding boots,,Size 11. Great condition - used less than 10 times. Price firm,City of Toronto,Yesterday,2020-10-06 12:14:29.602696
1527999955,/v-snowboard/city-of-toronto/burton-custom-x-snowboard-genesis-x-snowboard-binding/1527999955,900.0,"Burton custom X Snowboard, Genesis X. Snowboard binding",,Selling . 1920 burton customX 166cm wide $ 660 Ridden for 9 days Freshly waxed on end of season. 1819 Genesis X large size. (Re-flex 4x4) Used for 1season only. (Around 20days. Bought on 2019 october ...,City of Toronto,Yesterday,2020-10-06 12:14:29.603186
1412095038,/v-snowboard/city-of-toronto/elan-royale-snowboard-size-152-great-condition/1412095038,120.0,Elan Royale Snowboard Size 152 Great Condition,,Selling Great Condition Elan Royale Snowboard Size 152 perfect for someone who wants to try out the sport. Quit snowboarding and transitioned over to skiing. Asking $120 for Board. Make an Offer and ...,City of Toronto,Yesterday,2020-10-06 12:14:29.603677
1412091099,/v-snowboard/city-of-toronto/sims-pro-snowboard-allan-clark-model-pl-boots-size-9-5/1412091099,149.0,SIMS PRO Snowboard - Allan Clark Model + PL Boots size 9.5,,Perfect for a beginner who wants to try the sport. Selling SIMS PRO SNOW BOARD - ALLAN CLARK MODEL plus a pair of PL Snowboard Boots Size 9.5 ** BINDINGS NOT INCLUDED** gave them away to family ...,City of Toronto,Yesterday,2020-10-06 12:14:29.604209
1527993479,/v-snowboard/city-of-toronto/snow-boards-snow/1527993479,60.0,Snow  boards + snow,,"No Tex Call 647 855 2722 Boards 5 ` $60 each Brand new stuff size L Jacket Eira $40 , Pants $25 Helmet +++ $40 , Boots size 10 $40 , Hill boots kids 195 mm $10 ,",City of Toronto,Yesterday,2020-10-06 12:14:29.604702
1527970046,/v-snowboard/city-of-toronto/firefly-junior-girls-snowboard-boots/1527970046,50.0,Firefly Junior Girls Snowboard Boots,,Firefly Junior Girls Snowboard Boots in size 3. Worn only Once. Still in Box,City of Toronto,Yesterday,2020-10-06 12:14:29.605218
1527969863,/v-snowboard/city-of-toronto/giro-snowboard-helmet/1527969863,40.0,Giro Snowboard Helmet,,"XS Giro Snowboard Helmet. I have two available with slight differences but the same protection, warmth, and comfort.",City of Toronto,Yesterday,2020-10-06 12:14:29.606517
1527969677,/v-snowboard/city-of-toronto/brand-new-snowboard-sharpener-unopened/1527969677,4.0,Brand new snowboard sharpener unopened,,Brand new kUu snowboard sharpener unopened in package,City of Toronto,04/10/2020,2020-10-06 12:14:29.607911
1527968968,/v-snowboard/city-of-toronto/flow-snowboarding-boot-size-1/1527968968,60.0,Flow Snowboarding Boot - Size 1,,Includes Kids Boa Lacing - A cable and reel based lacing system that creates even tension and easy lacing operation Size 1 Boot for snowboarding,City of Toronto,04/10/2020,2020-10-06 12:14:29.608773
1527963904,/v-snowboard/city-of-toronto/pair-of-k2-size-2-snowboard-boots/1527963904,70.0,Pair of K2 Size 2 snowboard boots,,"Working best with the Mini Turbo board and binding, the Mini Turbo boot features a front-mounted Boa® reel for easy tightening and on-the-fly adjustability. This allows your little ripper the ability ...",City of Toronto,04/10/2020,2020-10-06 12:14:29.609550
1527963476,/v-snowboard/city-of-toronto/womens-k2-snowboard-142-boots-sz7-5/1527963476,150.0,Women's K2 Snowboard (142) & boots (sz7.5),,"Women's K2 snowboard & boots - $150 Boots size: 7.5, board size 142, In Mint Condition Pick-up at Steeles & Bathurst Please check out my other items - moving sale",City of Toronto,04/10/2020,2020-10-06 12:14:29.610084
1527960892,/v-snowboard/city-of-toronto/firefly-men-s-snowboarding-shoes/1527960892,40.0,Firefly men’s snowboarding shoes,,Firefly men’s snowboarding shoes. In good used condition. No rips or tears. Small scratch to corner of right boot.,City of Toronto,04/10/2020,2020-10-06 12:14:29.610630
1324819701,/v-snowboard/city-of-toronto/brand-new-women-helmets-bern-lenox-eps-size-xs-sm/1324819701,120.0,Brand new Women helmets Bern Lenox EPS size XS/SM,,Brand new Women helmets Bern Lenox EPS Size XS/SM ( 52cm-55.5cm) Satin White/ Grey Liner,City of Toronto,04/10/2020,2020-10-06 12:14:29.611226
1527956473,/v-snowboard/city-of-toronto/snowboard-shell-jacket-unisex/1527956473,20.0,Snowboard shell/jacket -  unisex,,"Blond snowboard shell, great condition! Comes from smoke and pet free home",City of Toronto,04/10/2020,2020-10-06 12:14:29.611735
1469724385,/v-snowboard/city-of-toronto/burton-ski-snowboard-jacket-w-gloves-women-s/1469724385,80.0,Burton Ski Snowboard Jacket w/Gloves Women’s,,"Insulated, weather-proof, Size S, used several times, in great condition.",City of Toronto,04/10/2020,2020-10-06 12:14:29.612269
1469722946,/v-snowboard/city-of-toronto/betty-rides-womens-snowboard-pants/1469722946,50.0,Betty Rides Women's Snowboard Pants,,"Almost new weather-proof pants, size S.",City of Toronto,04/10/2020,2020-10-06 12:14:29.612776
1469726286,/v-snowboard/city-of-toronto/levelwear-womens-activewear-snowboard-ski/1469726286,25.0,Levelwear Women's Activewear Snowboard Ski,,"Half-zip, Moisture Wicking, Anti Static,Anti Pill, 97% Polyester, 3% Spandex, Soft Hand Size S/M.",City of Toronto,04/10/2020,2020-10-06 12:14:29.613816
1527950983,/v-snowboard/city-of-toronto/brand-new-smith-snowboarding-goggles/1527950983,30.0,Brand new Smith snowboarding goggles,,Never worn Smith Knowledge OTS goggles - Lifetime warranty - Cylindrical carbonic-x lens - Patented regulator adjustable lens ventilation - Fog-X anti-fog inner lens - TLT lens technology for crystal ...,City of Toronto,04/10/2020,2020-10-06 12:14:29.614848
1527948352,/v-snowboard/city-of-toronto/barely-used-option-snowboard-drake-bindings/1527948352,200.0,Barely used Option snowboard + Drake Bindings,,"- Option Redline 141 - Drake F40 lady bindings (perfect condition) This board was only used 4 times, just need to sharpen edges to remove some sueface rust. Great board made in Canada! Serious ...",City of Toronto,04/10/2020,2020-10-06 12:14:29.615445
1527938767,/v-snowboard/city-of-toronto/mens-159-snowboard-k2-black-and-orange-w-firefly-bindings/1527938767,425.0,Men's 159 Snowboard K2 Black and Orange w/Firefly Bindings,,"K2 Collection 159 Snowboard with Firefly Bindings Like new, used twice in one season. Black glossy top, orange bottom.",City of Toronto,04/10/2020,2020-10-06 12:14:29.615970
1527936552,/v-snowboard/city-of-toronto/burton-snowboard-helmet/1527936552,10.0,Burton snowboard helmet,,R.E.D. Burton snowboard helmet. Blue with red details. Size 58/medium. Pickup only.,City of Toronto,04/10/2020,2020-10-06 12:14:29.616716
1527935902,/v-snowboard/city-of-toronto/burton-zipline-jr-snowboard-boots-size-6/1527935902,90.0,Burton Zipline Jr Snowboard Boots Size 6!,,"Like new Burton Zipline Jr Boots size 6! These are among the best you can buy and are top quality, once you go boa, you can’t go back due to convenience! Don’t buy new, your kids with outgrow the ...",City of Toronto,04/10/2020,2020-10-06 12:14:29.617241
1527934605,/v-snowboard/city-of-toronto/spy-doom-snow-goggles-w-two-lenses/1527934605,150.0,Spy Doom Snow Goggles w/ two lenses,,Like New. Worn Twice. MRSP $220. Comes with protective fabric pouch & two lenses. - Antifog - 100% UV Protection - Helmet Compatible - Flexible Frame - Silicon Ribbed Strap - Triple Layer Face Foam ...,City of Toronto,04/10/2020,2020-10-06 12:14:29.617900
1527923920,/v-snowboard/city-of-toronto/burton-snowboard-deck/1527923920,100.0,Burton Snowboard Deck,,I'm selling the balance by Burton snowboard deck only. White colour and 157.7cm height.,City of Toronto,04/10/2020,2020-10-06 12:14:29.618404
1527904374,/v-snowboard/city-of-toronto/burton-snowboard-process-series-smalls-138-flat-top/1527904374,100.0,Burton snowboard process series smalls 138 flat top,,Good condition with some scuffs but still very usable,City of Toronto,04/10/2020,2020-10-06 12:14:33.205551
1527906445,/v-snowboard/city-of-toronto/k2-vandal-series-137-cm/1527906445,75.0,K2 vandal series 137 cm,,K2 vandal series 137 cm in pretty good condition with no scuffs and minor chips.,City of Toronto,04/10/2020,2020-10-06 12:14:33.206421
1527909882,/v-snowboard/city-of-toronto/k2-snowboard-vandal-series-142cm/1527909882,125.0,K2 snowboard vandal series 142cm,,K2 snowboard vandal series 142cm with a few of small chips and lots of stickers. With morrow invasion series bindings in good condition,City of Toronto,04/10/2020,2020-10-06 12:14:33.207302
1527911558,/v-snowboard/city-of-toronto/brand-new-snow-board-helmet/1527911558,20.0,Brand new Snow board helmet,,Never worn Sandbox Classic 2.0 snow board helmet. Came with a snow board and was never used. SIze 52-55 cm with extra cushioning pads.,City of Toronto,04/10/2020,2020-10-06 12:14:33.208164
1527908748,/v-snowboard/city-of-toronto/like-new-k2-snow-board-boots/1527908748,80.0,Like new K2 Snow board boots,,"Used for 4 days only, now they are too small. K2 Sendit BOA women's size 8 in great shape!",City of Toronto,04/10/2020,2020-10-06 12:14:33.209010
1527894455,/v-snowboard/city-of-toronto/flow-snowboard-w-burton-bindings/1527894455,150.0,Flow Snowboard w/ Burton bindings,,Used Flow snowboard. Comes with Burton custom bindings and travel bag. 150cm.,City of Toronto,04/10/2020,2020-10-06 12:14:33.209870
1527887443,/v-snowboard/city-of-toronto/new-vans-snowboard-boots-9/1527887443,120.0,NEW Vans Snowboard Boots - 9,,"Worn twice... Says 9.5 but they fit like a 9, so were too tight for me when riding. Selling for $150 paid over $200 last year.",City of Toronto,04/10/2020,2020-10-06 12:14:33.211502
1527884818,/v-snowboard/city-of-toronto/lamar-snowboard/1527884818,100.0,Lamar snowboard,,Good condition snowboard - $100 OBO,City of Toronto,04/10/2020,2020-10-06 12:14:33.212611
1527832016,/v-snowboard/city-of-toronto/burton-snowboard-snow-board-boots-7-5-women-s-girls/1527832016,100.0,Burton snowboard snow board boots 7.5 women’s girls,,"Burton snowboard snow board boots 7.5 women’s girls. Posted in sporting goods, exercise, snowboard in City of Toronto. October 4, 2020",City of Toronto,04/10/2020,2020-10-06 12:14:33.213351
1527815089,/v-snowboard/city-of-toronto/snowboard-156-custom/1527815089,60.0,Snowboard 156 custom,,Snowboard size 156 with snowboard bindings.,City of Toronto,04/10/2020,2020-10-06 12:14:33.213909
