,url,price,title,distance,description,location,time_offset,retreived
1528484508,/v-other/city-of-toronto/asus-rt-ac1200/1528484508,40.0,Asus RT-AC1200,,Wireless dual-band router. No longer use or need in my smaller apartment.,City of Toronto,< 14 minutes ago,2020-10-07 17:54:30.384031
1528460074,/v-other/city-of-toronto/bnib-cpu-water-block-ek-velocity-rgb-full-nickel-intel-extra/1528460074,100.0,BNIB CPU water block EK-Velocity RGB Full Nickel (Intel) + extra,,Selling a BNIB sealed EK-Velocity RGB Full Nickel (Intel) + EK-Quantum velocity frame (white) for $100 Product info found here https://www.ekwb.com/shop/ek-velocity-rgb-full-nickel I have two of ...,City of Toronto,< 3 hours ago,2020-10-07 17:54:30.384694
1528456861,/v-other/city-of-toronto/x5690-4-in-1/1528456861,15.0,X5690 4 in 1,,"Print, copy, scan and fax",City of Toronto,< 3 hours ago,2020-10-07 17:54:30.385218
1528444140,/v-other/city-of-toronto/like-new-wahoo-element-bolt-cycling-computer/1528444140,300.0,Like new Wahoo element bolt cycling computer,,"Bought it from amazon in the summer time. Rarely used as I didn’t get to bike much. Selling for $300. Save a bit and taxes. Stickers still on the unit, perfect working condition.",City of Toronto,< 4 hours ago,2020-10-07 17:54:30.385722
1506617348,/v-other/city-of-toronto/zheino-m1-msata-ssd-256gb/1506617348,90.0,Zheino m1 mSATA SSD 256gb,,Zheino m1 mSATA SSD 256gb https://www.amazon.ca/Zheino-Msata-256gb-3050mm-Tablet/dp/B01226C3N6#customerReviews,City of Toronto,< 6 hours ago,2020-10-07 17:54:30.386208
1479914967,/v-other/city-of-toronto/corsair-raptor-m45-5000-dpi-optical-sensor-gaming-mouse/1479914967,30.0,Corsair Raptor M45 - 5000 DPI optical sensor gaming mouse,,Excellent condition https://www.amazon.ca/Corsair-Raptor-M45-5000-Optical-Sensor/dp/B00IDWFN4U,City of Toronto,< 8 hours ago,2020-10-07 17:54:30.387106
1528397500,/v-other/city-of-toronto/moden-technicolor-model-tc-4350/1528397500,40.0,Moden - Technicolor Model TC 4350,,Technicolor modem used but in great condition. Media Acess TC4350. We used it with Tecsavvy. Pick-up only,City of Toronto,< 8 hours ago,2020-10-07 17:54:30.387651
1528390935,/v-other/city-of-toronto/lg-27-fhd-75-hz-led-gaming-monitor/1528390935,200.0,LG 27” FHD 75 HZ LED gaming monitor,,It is new Monitor. Supposed to use in quarantine but have to back to work in person. Only 2 times has been used. It is in the box. New one 249.99+ tax,City of Toronto,< 8 hours ago,2020-10-07 17:54:30.388136
1528386867,/v-other/city-of-toronto/sk-ii-facial-treatment-essence/1528386867,220.0,SK-II Facial Treatment Essence,,Bought in Airport.,City of Toronto,< 9 hours ago,2020-10-07 17:54:30.388664
1528368178,/v-other/city-of-toronto/xerox-toner-up-for-sale/1528368178,60.0,Xerox  Toner up for sale,,All genuine Xerox toner please make an offer,City of Toronto,< 11 hours ago,2020-10-07 17:54:30.389155
1528343773,/v-other/city-of-toronto/iphone-x-64gb/1528343773,550.0,IPhone x - 64gb,,The phone is in mint condition. Its the 64gb iphone x . Silver/white colour. Comes factory unlocked. Everything works perfectly.,City of Toronto,< 19 hours ago,2020-10-07 17:54:30.389640
1528343375,/v-other/city-of-toronto/apple-a1407-27-perfect-condition/1528343375,375.0,Apple A1407 27” perfect condition.,,I am selling an Apple 1407 27” display in perfect condition no scratches. Working andIncludes the original box. Includes a MagSafe 1 to MagSafe 2 adapter needed for certain MacBook Pro & MacBook Air ...,City of Toronto,< 19 hours ago,2020-10-07 17:54:30.390129
1528339208,/v-other/city-of-toronto/apc-rack-mounted-ups-battery-backup-with-transformer/1528339208,150.0,APC rack mounted UPS battery backup with transformer,,2 batteries also but I haven’t used it since I moved in a few years ago.,City of Toronto,< 20 hours ago,2020-10-07 17:54:30.390612
1528334683,/v-other/city-of-toronto/razer-viper-ultimate-with-charging-dock-mercury/1528334683,200.0,Razer Viper Ultimate with Charging Dock - Mercury,,LNIB. Received first week of October. Didn't like the feel so selling at cost. Save yourself the taxes. No low offers please. Info on mouse: ...,City of Toronto,< 21 hours ago,2020-10-07 17:54:30.391096
