,url,price,title,distance,description,location,time_offset,retreived
1528165677,/v-freezer/city-of-toronto/upright-freezer/1528165677,199.0,Upright freezer,,Galanz 3.1 cu ft Upright Freezer 3.1cu. Ft capacity upright freezer •Black or White Color •R600a Compressor •ENERGY STAR and ETL Approval •Manual defrost •Easy-to-use mechanical thermostat •Smooth ...,City of Toronto,< 16 hours ago,2020-10-06 17:27:42.793133
1528140389,/v-freezer/city-of-toronto/standing-freezer/1528140389,100.0,Standing Freezer,,"Used Standing freezer, perfect for storing extra groceries or for second kitchen. Viking Brand.",City of Toronto,< 21 hours ago,2020-10-06 17:27:42.793629
1528098443,/v-freezer/city-of-toronto/a-small-eaton-vicking-7-5-cf-chest-freezer-can-deliver/1528098443,150.0,A small Eaton Vicking 7.5 CF. chest freezer can deliver,,"A beautiful small Eaton Vicking 7.5 cubic feet chest freezer W-34"" D-21 1/2"" H-35"" can deliver for an extra fee of $50.",City of Toronto,Yesterday,2020-10-06 17:27:42.794120
1528058308,/v-freezer/city-of-toronto/true-tuc-27f-undercounter-freezer/1528058308,400.0,True TUC-27F undercounter freezer,,True TUC-27F undercounter freezer. Runs but could be colder. Needs work.,City of Toronto,Yesterday,2020-10-06 17:27:42.794671
1528026177,/v-freezer/city-of-toronto/frigidaire-16-cu-ft-white-upright-freezer/1528026177,575.0,Frigidaire 16 cu. ft. White Upright Freezer,,"Frigidaire 16 cu. ft. White Upright Freezer with Door Ajar Alarm Purchased in April. No longer need it. Brand new condition, less than 6 months old. Purchased from Costco.",City of Toronto,Yesterday,2020-10-06 17:27:42.795164
1528021595,/v-freezer/city-of-toronto/freezer-commercial/1528021595,500.0,Freezer Commercial,,Only used 3 months Freezer/commercial/ stainless $500,City of Toronto,Yesterday,2020-10-06 17:27:42.795655
1527995900,/v-freezer/city-of-toronto/midea-5-cu-ft-chest-freezer-brand-new-in-the-box-399/1527995900,399.0,Midea 5 Cu. Ft. Chest Freezer - Brand New in the box - $399,,"Shipping Dimensions: Width: 26.2"" (66.5 cm)Height: 35"" (88.9 cm)Depth: 22.8"" (57.9 cm) Unique Features The D-shaped Quick Freezing system speedily cools down your foods, preventing spoilage. ...",City of Toronto,Yesterday,2020-10-06 17:27:42.796142
1527921657,/v-freezer/city-of-toronto/fridgidaire-freezer-apartment-size/1527921657,150.0,Fridgidaire freezer (apartment size),,Small freeze in good working condition available for immediate pickup.,City of Toronto,04/10/2020,2020-10-06 17:27:42.796626
1527818574,/v-freezer/city-of-toronto/fridges/1527818574,580.0,Fridges,,Gentle used fridge with freezer. Work perfectly,City of Toronto,04/10/2020,2020-10-06 17:27:42.797107
1527696478,/v-freezer/city-of-toronto/deep-freezer/1527696478,150.0,Deep freezer,,Good condition deep freezer barely used. Has been sitting in garage.,City of Toronto,03/10/2020,2020-10-06 17:27:42.797589
1527680921,/v-freezer/city-of-toronto/upright-freezers-availables/1527680921,599.0,UPRIGHT FREEZERS AVAILABLES!!!,,"BARCELONA APPLIANCES UPRIGHT FREEZERS 1 year warranty parts and labour Best brands and models, perfect for your property. If you are looking for home appliances contact me. Best deals every day! Text ...",City of Toronto,03/10/2020,2020-10-06 17:27:42.798072
1527668683,/v-freezer/city-of-toronto/upright-freezer/1527668683,249.0,Upright freezer,,"Energy saving • Adjustable thermostat control • 3 Removable storage baskets • Reversible doorCapacity (cu. ft.) 3.0 cu. ft., 3 cu. ft Capacity Range Under 5 cu. Ft Configuration Upright Defrost type ...",City of Toronto,03/10/2020,2020-10-06 17:27:42.798559
1527481582,/v-freezer/city-of-toronto/31-chest-freezer-danby/1527481582,300.0,"31""CHEST FREEZER DANBY",,"DESCRIPTION: 31""CHEST FREEZER DANBY PRICE: 300 HERE AT BESTMAN APPLIANCES, YOU WANT IT WE HAVE IT, YOU DONT SEE IT WE'LL GET IT... WITH BEST MAN THERE IS NO SUCH WORD AS IMPOSSIBLE. VISIT US TODAY!! ...",City of Toronto,02/10/2020,2020-10-06 17:27:42.799056
1527464535,/v-freezer/city-of-toronto/coca-cola-freezer/1527464535,1800.0,Coca Cola freezer,,"Coca Cola freezer. Posted in home appliances, freezers in City of Toronto. October 2, 2020",City of Toronto,02/10/2020,2020-10-06 17:27:42.799541
1479152636,/v-freezer/city-of-toronto/edwards-e2m5-dual-stage-rotary-vane-vacuum-pump-for-short-path/1479152636,500.0,Edwards E2M5 Dual Stage Rotary Vane Vacuum Pump for Short Path,,"Edwards E2M5 Dual Stage Rotary Vane Vacuum Pump tested at around 35-50 micron 110V Great for Short Path Distillation Used, rebuilt, 30 days warranty",City of Toronto,30/09/2020,2020-10-06 17:27:42.800029
1479152423,/v-freezer/city-of-toronto/revco-86c-upright-laboratory-freezer-short-path-winterization/1479152423,2990.0,Revco -86C Upright Laboratory Freezer Short Path Winterization,,Revco Kendro Thermo ULT1786 ULT2186 ULT2586 Ultra Low -86C Freezer 25 cubic feet Freezers are made in the USA (not China). -Delivery is available across Canada and the USA. -Shelves can be removed ...,City of Toronto,30/09/2020,2020-10-06 17:27:42.800605
1527131858,/v-freezer/city-of-toronto/arctic-king-fridgemaster-3-4-cu-ft-chest-freezer-no-tax-219/1527131858,219.99,"Arctic King, Fridgemaster 3.4 Cu. Ft. Chest Freezer NO TAX $219",,Cash N Carry No Tax Fridgemaster 3.4 Cu. Ft. Chest Freezer CASH N CARRY $219.99 Arctic King 3.5 cu. ft. Chest Freezer CASH N CARRY $239.99 Arctic King 3.0 cu ft Upright Freezer CASH N CARRY $239.99 ...,City of Toronto,30/09/2020,2020-10-06 17:27:42.801296
1527085938,/v-freezer/city-of-toronto/large-upright-freezer-ask-for-100/1527085938,100.0,large upright freezer  ask for 100,,"very large upright freezer for sale. The compressor is not work, you may need to change it, also very good for parts",City of Toronto,30/09/2020,2020-10-06 17:27:42.801785
1526799171,/v-freezer/city-of-toronto/frigidaire-upright-freezer/1526799171,599.0,FRIGIDAIRE upright freezer,,"FRIGIDAIRE upright freezer in white. 2 years old!! PERFECT running condition. Extra Extra clean. Honestly, it looks like brand new. There isn't a single blemish anywhere. Working great, but we simply ...",City of Toronto,28/09/2020,2020-10-06 17:27:42.802271
1526661108,/v-freezer/city-of-toronto/commercial-standard-long-freezer/1526661108,120.0,Commercial Standard Long Freezer,,"Need to fix or change the compressor. Other than the compressor, the fridge is in good condition for use. Deciding to sell due to lack of space for the freezer. Cash only payment and must be picked ...",City of Toronto,28/09/2020,2020-10-06 17:27:42.802769
1526634656,/v-freezer/city-of-toronto/used-great-working-kenmore-5-cu-ft-compact-freezer-great-clean/1526634656,200.0,"Used great working Kenmore 5 Cu. Ft. Compact Freezer,great clean",,"416-284-0811 no text FIRM PRICE NO OFFERS Used great working Kenmore 5 Cu. Ft. Compact Freezer, great clean condition, nothing wrong size 21.5"" X 23"" X 33""",City of Toronto,28/09/2020,2020-10-06 17:27:42.803257
1487707601,/v-freezer/city-of-toronto/amana-ice-cube-holder-storage/1487707601,20.0,Amana ice cube holder storage,,"Original Amana ice storage container No longer in production perfect shape 10"" long x 5"" wide x 6"" deep",City of Toronto,27/09/2020,2020-10-06 17:27:42.803741
1525961697,/v-freezer/city-of-toronto/freezer-thermometer/1525961697,2.0,Freezer Thermometer,,$2 brand new,City of Toronto,24/09/2020,2020-10-06 17:27:42.804227
1495606399,/v-freezer/city-of-toronto/micwave-dish/1495606399,80.0,Micwave dish,,Micwave dish,City of Toronto,23/09/2020,2020-10-06 17:27:42.804900
1525579137,/v-freezer/city-of-toronto/super-sale-on-danby-comfort-time-7-cubic-feet-freezer/1525579137,299.0,SUPER SALE ON DANBY/COMFORT TIME  7 CUBIC FEET FREEZER,,SUPER SALE ON DANBY/COMFORT TIME 7 CUBIC FEET FREEZER. *BRAND NEW *SALE PRICE -: 299 *COMES WITH WARRANTY CANADIAN WAREHOUSE OUTLET 787 WARDEN AVE REAR UNIT M1L 4C2 SCARBOROUGH 647-358-4822 OR ...,City of Toronto,22/09/2020,2020-10-06 17:27:42.805566
1525432558,/v-freezer/city-of-toronto/unilever-icecream-freezer/1525432558,875.0,Unilever icecream freezer,,100% Working condition,City of Toronto,21/09/2020,2020-10-06 17:27:42.806052
1525209198,/v-freezer/city-of-toronto/instant-pot-duo-nova-pressure-cooker-7-in-1/1525209198,100.0,Instant Pot Duo Nova Pressure Cooker 7 in 1,,"Opened but new instapot for sale. Opened but unused. I turned it on once to see if it works. Still has box. - Best for beginners: An upgrade to the all-time bestseller Instant Pot Duo series, the Duo ...",City of Toronto,20/09/2020,2020-10-06 17:27:42.806535
1508755308,/v-freezer/city-of-toronto/upright-freezers-available/1508755308,599.0,UPRIGHT FREEZERS AVAILABLE,,"BARCELONA APPLIANCES WOODS 32"" UPRIGHT FREEZER 1 year warranty parts and labour Best brands and models, perfect for your property. If you are looking for home appliances contact me. Best deals every ...",City of Toronto,20/09/2020,2020-10-06 17:27:42.807030
1380696085,/v-freezer/city-of-toronto/evaporator-fan-motor-60hz-120v-wpw10189703/1380696085,120.0,Evaporator Fan Motor - 60Hz 120V - WPW10189703,,"NO LOWBALLERS. Manufacturer Part Number WPW10189703 Manufactured by Whirlpool NEW NEVER USED. PICK UP ONLY. IF THE AD IS UP, IT'S AVAILABLE This evaporator fan motor is located in the back of the ...",City of Toronto,18/09/2020,2020-10-06 17:27:42.807561
1524069827,/v-freezer/city-of-toronto/beau-mark-22-cu-ft-cehest-freezer-white/1524069827,100.0,Beau Mark- 22 cu. Ft Cehest Freezer white,,"CSA APPROVED, 91 kWh per month",City of Toronto,14/09/2020,2020-10-06 17:27:42.808248
