,url,price,title,distance,description,location,time_offset,retreived
1528072255,/v-textbooks/city-of-toronto/investigating-science-9-hardcover/1528072255,40.0,Investigating Science 9 Hardcover,,In 10/10 condition,City of Toronto,< 35 minutes ago,2020-10-05 15:02:43.242617
1528071820,/v-textbooks/city-of-toronto/residential-tenancies-11th-edition/1528071820,60.0,Residential tenancies 11th edition,,Residential tenancies Richard Feldman 11th edition. Humber College paralegal education,City of Toronto,< 37 minutes ago,2020-10-05 15:02:43.243107
1528070676,/v-textbooks/city-of-toronto/ap-computer-science-a-2017/1528070676,25.0,AP Computer Science A - 2017,,- 5 Steps to a 5 - in 10/10 condition,City of Toronto,< 42 minutes ago,2020-10-05 15:02:43.243598
1528070557,/v-textbooks/city-of-toronto/acc212:financial-analysis-i/1528070557,55.0,ACC212:Financial Analysis I,,ACC212:Financial Analysis I Seneca College in excellent condition. Feel free to contact me if you are interested.,City of Toronto,< 43 minutes ago,2020-10-05 15:02:43.244086
1528069925,/v-textbooks/city-of-toronto/meditations-on-first-philosophy-second-edition/1528069925,25.0,Meditations on First Philosophy - Second Edition,,"In 10/10 conditions, some pages have highlight",City of Toronto,< 46 minutes ago,2020-10-05 15:02:43.244572
1528068729,/v-textbooks/city-of-toronto/canadian-and-world-politics-12/1528068729,25.0,Canadian and World Politics 12,,Never used in 10/10 condition,City of Toronto,< 51 minutes ago,2020-10-05 15:02:43.245062
1528066832,/v-textbooks/city-of-toronto/calculus-vectors-12-textbook-and-handbook/1528066832,40.0,Calculus & Vectors 12 Textbook and Handbook,,"Calculus & Vectors 12 Textbook and Handbook. Posted in books, Textbooks in City of Toronto. October 5, 2020",City of Toronto,< 60 minutes ago,2020-10-05 15:02:43.245554
1528065633,/v-textbooks/city-of-toronto/complete-guide-to-conjugating-in-french-bescherelle/1528065633,20.0,Complete Guide to Conjugating in French ( Bescherelle ),,"bought from staples full price including tax some time ago, and never used it. practically brand new, except for small dent on the last picture very helpful including many conjugations and ...",City of Toronto,< 2 hours ago,2020-10-05 15:02:43.246045
1528065259,/v-textbooks/city-of-toronto/books-seneca-flight-services/1528065259,1.0,BOOKS (seneca flight services),,SENECA FLIGHT SERVICES BOOKS - visual geography of travel and tourism - the ascent of money - going places - deux monde - adelante - pasos 1 (course/activity) DM for prices,City of Toronto,< 2 hours ago,2020-10-05 15:02:43.246534
1528064971,/v-textbooks/city-of-toronto/ap-comparative-government-politics-practice-book/1528064971,25.0,AP Comparative Government & Politics  Practice Book,,Never used in 10/10 condition,City of Toronto,< 2 hours ago,2020-10-05 15:02:43.247021
1528064406,/v-textbooks/city-of-toronto/imprints-books-volume-1-2/1528064406,25.0,Imprints Books Volume 1 & 2,,Lightly used in 10/10 condition,City of Toronto,< 2 hours ago,2020-10-05 15:02:43.247515
1528063447,/v-textbooks/city-of-toronto/microeconomics-text-books/1528063447,20.0,Microeconomics text books,,20 for both or 10 for 1,City of Toronto,< 2 hours ago,2020-10-05 15:02:43.248004
1528061451,/v-textbooks/city-of-toronto/pcat-2021-edition-pharmacy-college-admissions-test/1528061451,20.0,PCAT 2021 edition (pharmacy college admissions test),,Fresh new Pharmacy College Admissions test. Comes with online resources based on code in the book.,City of Toronto,< 2 hours ago,2020-10-05 15:02:43.248553
1528060352,/v-textbooks/city-of-toronto/global-citizenship:-from-social-analysis-to-social-action/1528060352,80.0,Global Citizenship: From Social Analysis to Social Action,,Product details ISBN-10 : 0176588973 ISBN-13 : 978-0176588977 Publisher : Nelson Language: : English Condition: Like New,City of Toronto,< 2 hours ago,2020-10-05 15:02:43.250143
1528057555,/v-textbooks/city-of-toronto/books-in-ukrainian/1528057555,7.0,BOOKS IN UKRAINIAN,,"Five books in Ukrainian in good condition. From smoke/pet/coronovirus free home. For $7 each or all for $30. Please email me if you are interested. If ad is up, items are available.",City of Toronto,< 2 hours ago,2020-10-05 15:02:43.251779
1528057531,/v-textbooks/city-of-toronto/operations-management-textbook/1528057531,60.0,Operations Management textbook,,"Operations Management: Sustainability and Supply Chain Management, Second Canadian Edition - loose leaves Pls text 4379828814 Jing if interested",City of Toronto,< 2 hours ago,2020-10-05 15:02:43.253393
1528056437,/v-textbooks/city-of-toronto/case-files-obstetrics-and-gynecology-3rd-edition/1528056437,10.0,Case Files obstetrics and gynecology 3rd edition.,,"Like new, no markings. Pick up near Yonge and Steeles.",City of Toronto,< 2 hours ago,2020-10-05 15:02:43.255016
1528056023,/v-textbooks/city-of-toronto/blueprints-obstetrics-and-gynecology-5th-edition/1528056023,10.0,Blueprints obstetrics and gynecology 5th edition,,"Good condition, no markings. Pick up near Yonge and Steeles.",City of Toronto,< 2 hours ago,2020-10-05 15:02:48.000408
